Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Rural;2005;19.299999;0.22;1576;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Urban;2005;12.4;0.23999999;333;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Only female adults in the household;2005;16.799999;0.25999999;57;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Male and female adults in the household;2005;18.5;0.22;1831;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Expenditure quintile 1;2005;15.5;0.2;492;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Expenditure quintile 2;2005;19.9;0.23999999;462;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Expenditure quintile 3;2005;19.200001;0.23;375;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Expenditure quintile 4;2005;19.6;0.23;333;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Expenditure quintile 5;2005;18.4;0.23;247;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Small holder farms;2005;10.5;0.19;1245;;18.3999995
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Non-small holder farms;2005;26.299999;0.22;663;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Income from agriculture greater than 30%;2005;22.5;0.22;1265;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;Income from agriculture lower than 30%;2005;10.4;0.20999999;644;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Albania;National;2005;18.4;0.22;1909;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Rural;2010;23.1;0.23;3403;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Urban;2010;1.3;0.077;3538;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Only male adults in the household;2010;19.6;0.27000001;74;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Only female adults in the household;2010;6;0.17;718;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Male and female adults in the household;2010;10.5;0.19;6149;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 1;2010;14.9;0.2;1751;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 2;2010;12.7;0.20999999;1553;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 3;2010;8.6000004;0.18000001;1419;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 4;2010;6.3000002;0.16;1219;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 5;2010;6.6999998;0.17;999;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Small holder farms;2010;4.5999999;0.13;6153;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Non-small holder farms;2010;35.5;0.20999999;788;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Income from agriculture greater than 30%;2010;24.700001;0.23;2864;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Income from agriculture lower than 30%;2010;2.4000001;0.097999997;4077;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;National;2010;10.1;0.19;6941;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Rural;2013;29.299999;0.25999999;1807;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Urban;2013;1.1;0.064999998;2335;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Only male adults in the household;2013;30.9;0.36000001;50;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Only female adults in the household;2013;7.5999999;0.19;473;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Male and female adults in the household;2013;13.7;0.23;3619;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 1;2013;12.6;0.20999999;857;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 2;2013;14.3;0.23;883;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 3;2013;13.6;0.23;894;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 4;2013;14.3;0.23999999;799;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Expenditure quintile 5;2013;11.1;0.22;709;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Small holder farms;2013;8.8000002;0.2;3513;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Non-small holder farms;2013;39;0.23;616;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Income from agriculture greater than 30%;2013;29.6;0.25;1360;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;Income from agriculture lower than 30%;2013;6;0.17;2782;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Armenia;National;2013;13.3;0.23;4142;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Rural;2008;32.400002;0.31;1351;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Urban;2008;36.400002;0.37;107;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Only male adults in the household;2008;39.200001;0.34;124;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Only female adults in the household;2008;26.799999;0.31;200;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Male and female adults in the household;2008;33.200001;0.31;1132;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Expenditure quintile 1;2008;28.799999;0.28999999;612;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Expenditure quintile 2;2008;34.799999;0.31;380;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Expenditure quintile 3;2008;33.099998;0.31999999;200;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Expenditure quintile 4;2008;38.700001;0.34999999;156;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Expenditure quintile 5;2008;37.700001;0.36000001;110;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Small holder farms;2008;28.4;0.31;1078;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Non-small holder farms;2008;39.900002;0.30000001;374;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Income from agriculture greater than 30%;2008;34.700001;0.31;1218;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);Income from agriculture lower than 30%;2008;24.200001;0.31999999;240;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bolivia (Plurinational State of);National;2008;32.799999;0.31;1458;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Rural;2007;15.7;0.25999999;908;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Urban;2007;10.7;0.25;461;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Only male adults in the household;2007;8.6000004;0.22;70;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Only female adults in the household;2007;3.7;0.14;123;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Male and female adults in the household;2007;15.5;0.27000001;1176;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Expenditure quintile 1;2007;7.3000002;0.19;111;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Expenditure quintile 2;2007;10.4;0.25;198;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Expenditure quintile 3;2007;13.9;0.27000001;228;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Expenditure quintile 4;2007;15.4;0.27000001;306;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Expenditure quintile 5;2007;16.1;0.25999999;526;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Small holder farms;2007;9.1000004;0.22;998;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Non-small holder farms;2007;27.799999;0.31;360;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Income from agriculture greater than 30%;2007;31;0.31;340;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;Income from agriculture lower than 30%;2007;8.5;0.20999999;1029;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Bulgaria;National;2007;14.1;0.25999999;1369;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Rural;2014;45.599998;0.25999999;3939;;
