Country;Indicator Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Afghanistan;GDP per capita (current US$);221.6576621;255.0551071;274.0006557;375.0782615;387.8492881;443.8451505;554.5947346;621.9124138;663.1410528;651.9878619;628.1468039;592.4761648;520.2519549;530.1498626;502.0570992;500.5229808;516.8667974;363.6740871
Albania;GDP per capita (current US$);2373.581292;2673.787803;2972.743618;3595.038302;4370.539711;4114.134041;4094.349699;4437.141146;4247.631356;4413.063397;4578.633208;3952.803584;4124.05539;4531.032207;5287.660817;5396.214227;5343.037704;6377.203096
Algeria;GDP per capita (current US$);2624.795232;3131.328176;3500.13461;3971.803488;4946.564017;3898.478806;4495.921455;5473.281801;5610.733306;5519.777576;5516.229463;4197.419971;3967.20066;4134.936099;4171.795309;4021.983608;3354.157303;3700.311195
Andorra;GDP per capita (current US$);37630.76426;39583.93119;43084.29291;50562.86121;53721.41133;49750.69367;48237.89117;51428.19695;44902.38077;44747.75386;45680.53499;38885.53032;39931.21698;40632.23155;42904.82846;41328.6005;37207.222;42072.3411
Angola;GDP per capita (current US$);1254.696126;1900.723817;2597.963585;3121.348735;4081.717497;3123.698898;3496.784796;4511.153227;4962.552072;5101.983876;5059.080441;3100.830685;1709.515534;2283.214233;2487.500996;2142.238757;1502.950754;1903.717405
Antigua and Barbuda;GDP per capita (current US$);11650.84848;12808.01015;14310.68623;16006.13611;16457.10406;14530.59869;13404.51602;13117.14694;13686.47659;13350.14914;14004.81121;14861.88271;15862.65166;16110.3124;17514.35586;18187.77971;15284.77238;16740.3482
Argentina;GDP per capita (current US$);4258.160261;5086.627761;5890.978002;7210.595548;8977.506851;8184.389889;10385.96443;12848.74048;13082.66433;13080.25473;12334.79825;13789.06042;12790.26406;14613.03571;11795.16289;9963.674231;8496.428157;10636.11553
Armenia;GDP per capita (current US$);1166.638204;1608.163409;2109.526385;3064.279961;3908.949057;2917.366245;3143.029482;3462.681774;3643.715404;3833.157071;4017.229913;3666.141825;3679.952349;4041.995072;4391.923274;4828.504889;4505.867746;4966.513471
Aruba;GDP per capita (current US$);24104.64618;24975.67326;25833.44562;27665.42647;29011.55925;25739.13725;24452.92836;26044.43593;25609.95572;26515.67808;26942.30798;28421.38649;28451.27374;29326.70806;30918.51522;31902.76258;24487.86357;29342.10073
Australia;GDP per capita (current US$);30819.99349;34460.543;36570.76307;41023.75486;49681.21907;42810.46584;52132.46961;62598.68662;68047.37818;68156.3861;62515.31483;56708.9612;49876.71238;53934.15437;57206.99067;54941.06572;51722.069;60444.50236
Austria;GDP per capita (current US$);36889.23351;38417.45779;40669.32696;46915.3374;51919.98358;48153.32402;46903.76159;51442.27625;48564.91734;50731.12725;51786.37717;44195.81759;45307.58786;47429.15846;51466.55656;50070.40335;48809.22688;53637.70571
Azerbaijan;GDP per capita (current US$);1045.014165;1578.36733;2472.957257;3851.331012;5574.470962;4950.397437;5843.533768;7189.815151;7495.861942;7875.344611;7890.83525;5500.50462;3880.686267;4147.198619;4739.795242;4805.753718;4229.910649;5408.045352
Bahamas, The;GDP per capita (current US$);26393.41395;28280.87084;28829.84938;29687.86522;29013.63029;27120.69055;27046.65767;26644.92658;28059.6554;27389.60197;28720.66219;29724.95334;29675.53589;30708.98702;31483.97884;32279.01136;23998.26802;28260.43255
Bahrain;GDP per capita (current US$);15777.96364;17705.23516;19057.7989;20883.54803;23155.82145;19448.18326;21186.81433;23741.55746;25102.72635;25790.73031;25464.7601;22795.44886;22867.18112;24349.90987;25415.84662;25869.11291;23433.18724;26860.0725
Bangladesh;GDP per capita (current US$);469.1164584;492.8086489;503.5383322;552.3389345;630.1089792;698.5209416;776.8595769;856.3818868;876.8180068;973.7739002;1108.514957;1236.004398;1659.962489;1815.610191;1963.412707;2122.078386;2233.305893;2457.924049
Barbados;GDP per capita (current US$);12828.43895;14173.75138;15595.63946;17219.04868;17550.66334;16310.46053;16489.79582;16907.20926;16691.33264;16893.60627;16924.19034;16990.21947;17343.72544;17843.19793;18224.89059;19002.96238;16643.80658;17225.4623
Belarus;GDP per capita (current US$);2378.339757;3126.071767;3848.216026;4735.484753;6376.183153;5352.489591;6034.678852;6527.654969;6953.217307;7998.077953;8341.288104;5967.069185;5039.776032;5785.534975;6360.05206;6837.767232;6542.86454;7489.718947
Belgium;GDP per capita (current US$);35429.40779;36809.70134;38705.1068;44319.16545;48303.39796;44760.29124;44184.94635;47410.56693;44670.56068;46757.95186;47764.07151;41008.29672;42012.62272;44198.48239;47544.98115;46641.71166;45517.90382;51268.38804
Belize;GDP per capita (current US$);5106.053034;5212.661614;5475.72291;5707.113365;5656.408361;5348.997839;5397.291575;5521.366276;5645.895822;5887.933435;6068.088609;6142.478833;6148.706961;6100.994681;6059.162553;6210.565543;5266.87616;6228.267309
Benin;GDP per capita (current US$);784.1190746;805.9046858;837.1320026;944.6431712;1098.946678;1061.718359;1009.489494;1099.414311;1112.569535;1214.295566;1251.504765;1041.652523;1049.820303;1095.274459;1194.438214;1170.965533;1237.949295;1361.100749
Bermuda;GDP per capita (current US$);70359.31911;75882.03386;95221.85887;104287.3875;106935.4863;101407.764;101875.2841;97774.16207;98431.86518;99471.6389;98467.68399;102005.6256;106885.8785;111820.5815;113050.7369;116153.1661;107791.8864;111774.6691
Bhutan;GDP per capita (current US$);1050.133115;1201.433648;1299.631249;1714.031072;1780.112218;1768.745957;2194.12587;2491.273456;2470.072136;2409.439989;2589.899141;2695.636904;2879.546572;3240.706326;3210.707814;3303.962309;3009.925516;3266.362774
Bolivia (Plurinational State of);GDP per capita (current US$);951.9516229;1018.313662;1200.068092;1351.035154;1687.578567;1725.146286;1922.058662;2304.982295;2562.466784;2853.797162;3022.462884;2975.648811;3013.502707;3280.008214;3471.006951;3472.380831;3068.812555;3345.196588
Bosnia and Herzegovina;GDP per capita (current US$);2451.577258;2741.080141;3170.174873;3936.932459;4846.792101;4542.310904;4506.933669;4980.906155;4688.345902;5025.240652;5196.969426;4654.609552;4917.263698;5327.393184;6024.491546;6094.723214;6095.102479;7230.198163
Botswana;GDP per capita (current US$);4818.213103;5240.316159;5142.913834;5372.340732;5345.848491;4938.250136;6041.732051;7080.778297;6392.987347;6436.603063;6844.032996;5869.737772;6411.551666;6705.341062;6947.817841;6691.161051;5875.070606;7238.796096
