Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","1477628","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","1440069","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","1518276","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","1716233","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","1915644","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","1863628","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","1938838","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","2220668","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","2246257","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","2661052","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","2499953","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","2215717","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","2202648","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","2366596","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","2500919","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","2554759","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","2598482","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","2913422","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","9281770","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","9266991","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","10315853","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","10785864","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","12648495","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","16148943","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","17006532","E","Estimated value"
