Country,Year,Code,own_con,own_con2
Armenia,2004,,,18236.49656089471
Armenia,2005,,,51932.474844708515
Armenia,2006,,,139116.52449253242
Armenia,2007,,,272088.99803271843
Armenia,2008,,,344838.5902546238
Armenia,2009,,,198221.66569047276
Armenia,2010,ARM,278009.2504589803,278009.2504589803
Armenia,2011,,,406287.12298339023
Armenia,2012,,,354517.5112822802
Armenia,2013,ARM,397862.0613621866,397862.0613621867
Armenia,2014,,,432386.0626719099
Armenia,2015,,,335233.68763749476
Armenia,2016,,,292811.65839520295
Armenia,2017,,,290907.61052208423
Armenia,2018,,,294727.3922455758
Armenia,2019,,,279935.0313431007
Armenia,2020,,,268472.9426891728
Armenia,2021,,,298880.59561886935
Burkina Faso,2014,BFA,10857875.945966523,10857875.945966601
Burkina Faso,2019,BFA,57300115.493990414,57300115.49399042
Burkina Faso,2020,,,88866525.37878013
Burkina Faso,2021,,,99458979.80479598
CĂ´te d'Ivoire,2004,,,37780334.123115234
CĂ´te d'Ivoire,2005,,,37248483.88088433
CĂ´te d'Ivoire,2006,,,36915373.35629523
CĂ´te d'Ivoire,2007,,,36575122.29646582
CĂ´te d'Ivoire,2008,CIV,35406371.32918913,35406371.32918913
CĂ´te d'Ivoire,2009,,,35272704.6506368
CĂ´te d'Ivoire,2010,,,33652482.23943113
CĂ´te d'Ivoire,2011,,,33096448.834915638
CĂ´te d'Ivoire,2012,,,33281361.304685354
CĂ´te d'Ivoire,2013,,,33059150.604838718
CĂ´te d'Ivoire,2014,,,32502263.684957437
CĂ´te d'Ivoire,2015,,,32650695.921093408
CĂ´te d'Ivoire,2016,,,32037960.60193988
CĂ´te d'Ivoire,2017,,,31106695.387509275
CĂ´te d'Ivoire,2018,,,29929469.94161394
CĂ´te d'Ivoire,2019,CIV,29217408.37025487,29217408.370254867
CĂ´te d'Ivoire,2020,,,28208370.106493436
CĂ´te d'Ivoire,2021,,,26838185.670463864
Ecuador,2004,,,725153.4275626203
Ecuador,2005,,,703719.9594787746
Ecuador,2006,ECU,712829.2801499999,712829.28015
Ecuador,2007,,,785245.2034993459
Ecuador,2008,,,860116.3410492509
Ecuador,2009,,,951419.9639588603
Ecuador,2010,,,1017675.8925173536
Ecuador,2011,,,1030419.1062038763
