Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
Armenia,2004,ARM,,18236.49656089471,0.23,4194.394209005784,58.04969539021162,100.0,7225.523201820361
Armenia,2005,ARM,,51932.47484470852,0.23,11944.46921428296,58.42059114913538,100.0,20445.649349544005
Armenia,2006,ARM,,139116.52449253242,0.23,31996.80063328246,60.11032298760156,100.0,53230.12594672326
Armenia,2007,ARM,,272088.99803271843,0.23,62580.469547525245,62.75960185741641,100.0,99714.5738586772
Armenia,2008,ARM,,344838.5902546238,0.23,79312.87575856347,68.3765569488113,100.0,115994.25197431252
Armenia,2009,ARM,,198221.6656904728,0.23,45590.983108808745,70.70598680838818,100.0,64479.66454716121
Armenia,2010,ARM,278009.2504589803,278009.2504589803,0.23,63942.12760556548,76.48716381067241,100.0,83598.50780170188
Armenia,2011,ARM,,406287.12298339023,0.23,93446.03828617976,82.33843802158682,100.0,113490.17607266345
Armenia,2012,ARM,,354517.5112822802,0.23,81539.02759492445,84.4446717980906,100.0,96559.11481293502
Armenia,2013,ARM,397862.0613621866,397862.0613621867,0.23,91508.27411330292,89.33373775733364,100.0,102434.17146820409
Armenia,2014,ARM,,432386.0626719099,0.23,99448.79441453928,91.9970522433015,100.0,108099.97928143438
Armenia,2015,ARM,,335233.6876374948,0.23,77103.74815662381,95.4300981396844,100.0,80796.04826955573
Armenia,2016,ARM,,292811.65839520295,0.23,67346.68143089669,94.09063406863466,100.0,71576.39237691871
Armenia,2017,ARM,,290907.61052208423,0.23,66908.75042007938,95.00289288706992,100.0,70428.11896224457
Armenia,2018,ARM,,294727.3922455758,0.23,67787.30021648243,97.39718792358822,100.0,69598.82688775791
Armenia,2019,ARM,,279935.0313431007,0.23,64385.05720891317,98.80306432895864,100.0,65165.04082762771
Armenia,2020,ARM,,268472.9426891728,0.23,61748.77681850975,100.0,100.0,61748.77681850975
Armenia,2021,ARM,,298880.5956188693,0.23,68742.53699233994,107.184836294,100.0,64134.572920169696
Burkina Faso,2014,BFA,10857875.945966523,10857875.9459666,0.315,3420230.9229794787,96.8975910112782,100.0,3529737.826589918
Burkina Faso,2019,BFA,57300115.493990414,57300115.49399042,0.315,18049536.380606983,98.15041439188678,100.0,18389669.05278698
Burkina Faso,2020,BFA,,88866525.37878013,0.315,27992955.49431574,100.0,100.0,27992955.49431574
