Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value
Armenia,2004,ARM,,18236.49656089471,0.23,4194.3942090057835
Armenia,2005,ARM,,51932.47484470852,0.23,11944.46921428296
Armenia,2006,ARM,,139116.52449253242,0.23,31996.80063328246
Armenia,2007,ARM,,272088.99803271843,0.23,62580.469547525245
Armenia,2008,ARM,,344838.5902546238,0.23,79312.87575856347
Armenia,2009,ARM,,198221.6656904728,0.23,45590.983108808745
Armenia,2010,ARM,278009.2504589803,278009.2504589803,0.23,63942.12760556548
Armenia,2011,ARM,,406287.12298339023,0.23,93446.03828617976
Armenia,2012,ARM,,354517.5112822802,0.23,81539.02759492445
Armenia,2013,ARM,397862.0613621866,397862.0613621867,0.23,91508.27411330293
Armenia,2014,ARM,,432386.0626719099,0.23,99448.79441453928
Armenia,2015,ARM,,335233.6876374948,0.23,77103.74815662381
Armenia,2016,ARM,,292811.65839520295,0.23,67346.68143089669
Armenia,2017,ARM,,290907.61052208423,0.23,66908.75042007938
Armenia,2018,ARM,,294727.3922455758,0.23,67787.30021648243
Armenia,2019,ARM,,279935.0313431007,0.23,64385.05720891317
Armenia,2020,ARM,,268472.9426891728,0.23,61748.776818509745
Armenia,2021,ARM,,298880.5956188693,0.23,68742.53699233994
Burkina Faso,2014,BFA,10857875.945966523,10857875.9459666,0.315,3420230.9229794787
Burkina Faso,2019,BFA,57300115.493990414,57300115.49399042,0.315,18049536.380606983
Burkina Faso,2020,BFA,,88866525.37878013,0.315,27992955.49431574
Burkina Faso,2021,BFA,,99458979.80479598,0.315,31329578.638510734
Côte d'Ivoire,2004,CIV,,37780334.123115234,0.315,11900805.2487813
Côte d'Ivoire,2005,CIV,,37248483.88088433,0.315,11733272.422478562
Côte d'Ivoire,2006,CIV,,36915373.35629523,0.315,11628342.607232997
Côte d'Ivoire,2007,CIV,,36575122.29646582,0.315,11521163.523386734
Côte d'Ivoire,2008,CIV,35406371.32918913,35406371.32918913,0.315,11153006.968694575
Côte d'Ivoire,2009,CIV,,35272704.6506368,0.315,11110901.964950591
Côte d'Ivoire,2010,CIV,,33652482.23943113,0.315,10600531.905420806
Côte d'Ivoire,2011,CIV,,33096448.83491564,0.315,10425381.382998427
Côte d'Ivoire,2012,CIV,,33281361.304685354,0.315,10483628.810975887
Côte d'Ivoire,2013,CIV,,33059150.60483872,0.315,10413632.440524198
Côte d'Ivoire,2014,CIV,,32502263.68495744,0.315,10238213.060761593
